,classifiers,brfc40,brfc40,brfc40,brfc40,dtc,dtc,dtc,dtc,ertc40,ertc40,ertc40,ertc40,gaus,gaus,gaus,gaus,knn,knn,knn,knn,logreg,logreg,logreg,logreg,lsvm,lsvm,lsvm,lsvm,mlpc,mlpc,mlpc,mlpc,rfc40,rfc40,rfc40,rfc40,svm,svm,svm,svm,xgb,xgb,xgb,xgb
datasets,tests\anomalies,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals,numeric anomalies,typos,explicit misvals,implicit misvals
,num disc,(6/6) 0.8468 +- 0.0053,---,(6/6) 0.8495 +- 0.0009,(6) FAIL,(6/6) 0.7979 +- 0.0156,---,(6/6) 0.8086 +- 0.0019,(6) FAIL,(6/6) 0.8294 +- 0.0072,---,(6/6) 0.8342 +- 0.0005,(6) FAIL,(6/6) 0.4812 +- 0.0082,---,(6/6) 0.4849 +- 0.0002,(6) FAIL,(6/6) 0.8195 +- 0.0017,---,(6/6) 0.8212 +- 0.0005,(6) FAIL,(6/6) 0.8460 +- 0.0034,---,(6/6) 0.8486 +- 0.0016,(6) FAIL,(6/6) 0.8355 +- 0.0206,---,(6/6) 0.8468 +- 0.0007,(6) FAIL,(6/6) 0.8322 +- 0.0117,---,(6/6) 0.8371 +- 0.0007,(6) FAIL,(6/6) 0.8399 +- 0.0197,---,(6/6) 0.8495 +- 0.0004,(6) FAIL,(6/6) 0.2505 +- 0.0002,---,(6/6) 0.2507 +- 0.0001,(6) FAIL,(6/6) 0.8585 +- 0.0026,---,(6/6) 0.8599 +- 0.0010,(6) FAIL
,num cont,(6/6) 0.8464 +- 0.0044,---,(6/6) 0.8492 +- 0.0010,(6) FAIL,(6/6) 0.8045 +- 0.0032,---,(6/6) 0.8086 +- 0.0016,(6) FAIL,(6/6) 0.8288 +- 0.0097,---,(6/6) 0.8341 +- 0.0009,(6) FAIL,(6/6) 0.4811 +- 0.0085,---,(6/6) 0.4850 +- 0.0003,(6) FAIL,(6/6) 0.8210 +- 0.0012,---,(6/6) 0.8215 +- 0.0008,(6) FAIL,(6/6) 0.8466 +- 0.0030,---,(6/6) 0.8487 +- 0.0011,(6) FAIL,(6/6) 0.8350 +- 0.0221,---,(6/6) 0.8470 +- 0.0010,(6) FAIL,(6/6) 0.8366 +- 0.0019,---,(6/6) 0.8370 +- 0.0006,(6) FAIL,(6/6) 0.8402 +- 0.0183,---,(6/6) 0.8500 +- 0.0011,(6) FAIL,(6/6) 0.2509 +- 0.0004,---,(6/6) 0.2507 +- 0.0001,(6) FAIL,(6/6) 0.8497 +- 0.0187,---,(6/6) 0.8602 +- 0.0006,(6) FAIL
,string,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL
credit-g,baseline,0.7650,0.7650,0.7650,0.7650,0.7050,0.7050,0.7050,0.7050,0.7400,0.7400,0.7400,0.7400,0.6350,0.6350,0.6350,0.6350,0.7000,0.7000,0.7000,0.7000,0.6750,0.6750,0.6750,0.6750,0.6800,0.6800,0.6800,0.6800,0.7100,0.7100,0.7100,0.7100,0.7750,0.7750,0.7750,0.7750,0.7100,0.7100,0.7100,0.7100,0.7600,0.7600,0.7600,0.7600
,num disc,(7/7) 0.7636 +- 0.0023,---,(7) FAIL,(7) FAIL,(7/7) 0.6986 +- 0.0074,---,(7) FAIL,(7) FAIL,(7/7) 0.7386 +- 0.0044,---,(7) FAIL,(7) FAIL,(7/7) 0.6279 +- 0.0116,---,(7) FAIL,(7) FAIL,(7/7) 0.7000 +- 0.0060,---,(7) FAIL,(7) FAIL,(7/7) 0.6736 +- 0.0083,---,(7) FAIL,(7) FAIL,(7/7) 0.6786 +- 0.0136,---,(7) FAIL,(7) FAIL,(7/7) 0.7100 +- 0.0000,---,(7) FAIL,(7) FAIL,(7/7) 0.7643 +- 0.0118,---,(7) FAIL,(7) FAIL,(7/7) 0.7086 +- 0.0023,---,(7) FAIL,(7) FAIL,(7/7) 0.7529 +- 0.0177,---,(7/7) 0.7557 +- 0.0056,(7) FAIL
,num cont,(7/7) 0.7664 +- 0.0058,---,(7) FAIL,(7) FAIL,(7/7) 0.7036 +- 0.0044,---,(7) FAIL,(7) FAIL,(7/7) 0.7343 +- 0.0049,---,(7) FAIL,(7) FAIL,(7/7) 0.6279 +- 0.0099,---,(7) FAIL,(7) FAIL,(7/7) 0.6993 +- 0.0062,---,(7) FAIL,(7) FAIL,(7/7) 0.6764 +- 0.0058,---,(7) FAIL,(7) FAIL,(7/7) 0.6807 +- 0.0042,---,(7) FAIL,(7) FAIL,(7/7) 0.7100 +- 0.0000,---,(7) FAIL,(7) FAIL,(7/7) 0.7686 +- 0.0112,---,(7) FAIL,(7) FAIL,(7/7) 0.7093 +- 0.0017,---,(7) FAIL,(7) FAIL,(7/7) 0.7600 +- 0.0046,---,(7/7) 0.7564 +- 0.0044,(7) FAIL
,string,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL
heart,baseline,0.7963,0.7963,0.7963,0.7963,0.8148,0.8148,0.8148,0.8148,0.7963,0.7963,0.7963,0.7963,0.6667,0.6667,0.6667,0.6667,0.7963,0.7963,0.7963,0.7963,0.8333,0.8333,0.8333,0.8333,0.8519,0.8519,0.8519,0.8519,0.5926,0.5926,0.5926,0.5926,0.7778,0.7778,0.7778,0.7778,0.8148,0.8148,0.8148,0.8148,0.7593,0.7593,0.7593,0.7593
,num disc,(8/11) 0.8009 +- 0.0154,---,(11) FAIL,(11) FAIL,(6/11) 0.8086 +- 0.0138,---,(11) FAIL,(11) FAIL,(8/11) 0.7940 +- 0.0061,---,(11) FAIL,(11) FAIL,(7/11) 0.6640 +- 0.0154,---,(11) FAIL,(11) FAIL,(7/11) 0.7989 +- 0.0154,---,(11) FAIL,(11) FAIL,(7/11) 0.8280 +- 0.0130,---,(11) FAIL,(11) FAIL,(7/11) 0.8492 +- 0.0065,---,(11) FAIL,(11) FAIL,(7/11) 0.5873 +- 0.0084,---,(11) FAIL,(11) FAIL,(6/11) 0.7747 +- 0.0069,---,(11) FAIL,(11) FAIL,(7/11) 0.8254 +- 0.0194,---,(11) FAIL,(11) FAIL,(6/11) 0.7593 +- 0.0000,---,(6/11) 0.7593 +- 0.0000,(11) FAIL
,num cont,(7/11) 0.7989 +- 0.0065,---,(11) FAIL,(11) FAIL,(6/11) 0.8117 +- 0.0127,---,(11) FAIL,(11) FAIL,(8/11) 0.8009 +- 0.0154,---,(11) FAIL,(11) FAIL,(7/11) 0.6746 +- 0.0135,---,(11) FAIL,(11) FAIL,(7/11) 0.8016 +- 0.0163,---,(11) FAIL,(11) FAIL,(6/11) 0.8395 +- 0.0138,---,(11) FAIL,(11) FAIL,(6/11) 0.8364 +- 0.0166,---,(11) FAIL,(11) FAIL,(8/11) 0.5926 +- 0.0000,---,(11) FAIL,(11) FAIL,(6/11) 0.7809 +- 0.0069,---,(11) FAIL,(11) FAIL,(6/11) 0.8117 +- 0.0166,---,(11) FAIL,(11) FAIL,(7/11) 0.7593 +- 0.0000,---,(6/11) 0.7562 +- 0.0069,(11) FAIL
,string,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
wine-quality,baseline,0.7000,0.7000,0.7000,0.7000,0.6875,0.6875,0.6875,0.6875,0.7312,0.7312,0.7312,0.7312,0.5406,0.5406,0.5406,0.5406,0.6719,0.6719,0.6719,0.6719,0.6344,0.6344,0.6344,0.6344,0.6344,0.6344,0.6344,0.6344,0.6219,0.6219,0.6219,0.6219,0.7375,0.7375,0.7375,0.7375,0.6500,0.6500,0.6500,0.6500,0.6562,0.6562,0.6562,0.6562
,num disc,(1/1) 0.7094 +- 0.0000,---,(1) FAIL,(1/1) 0.6594 +- 0.0000,(1/1) 0.6750 +- 0.0000,---,(1) FAIL,(1/1) 0.5844 +- 0.0000,(1/1) 0.7250 +- 0.0000,---,(1) FAIL,(1/1) 0.6562 +- 0.0000,(1/1) 0.5312 +- 0.0000,---,(1) FAIL,(1/1) 0.2188 +- 0.0000,(1/1) 0.6594 +- 0.0000,---,(1) FAIL,(1/1) 0.4562 +- 0.0000,(1/1) 0.6250 +- 0.0000,---,(1) FAIL,(1/1) 0.2000 +- 0.0000,(1/1) 0.6281 +- 0.0000,---,(1) FAIL,(1/1) 0.2687 +- 0.0000,(1/1) 0.6188 +- 0.0000,---,(1) FAIL,(1/1) 0.4531 +- 0.0000,(1/1) 0.7406 +- 0.0000,---,(1) FAIL,(1/1) 0.6875 +- 0.0000,(1/1) 0.6500 +- 0.0000,---,(1) FAIL,(1/1) 0.2437 +- 0.0000,(1/1) 0.6531 +- 0.0000,---,(1/1) 0.6438 +- 0.0000,(1/1) 0.6156 +- 0.0000
,num cont,(1/1) 0.6969 +- 0.0000,---,(1) FAIL,(1/1) 0.6813 +- 0.0000,(1/1) 0.6813 +- 0.0000,---,(1) FAIL,(1/1) 0.5312 +- 0.0000,(1/1) 0.7281 +- 0.0000,---,(1) FAIL,(1/1) 0.6469 +- 0.0000,(1/1) 0.5312 +- 0.0000,---,(1) FAIL,(1/1) 0.2000 +- 0.0000,(1/1) 0.6719 +- 0.0000,---,(1) FAIL,(1/1) 0.4625 +- 0.0000,(1/1) 0.6312 +- 0.0000,---,(1) FAIL,(1/1) 0.2562 +- 0.0000,(1/1) 0.6125 +- 0.0000,---,(1) FAIL,(1/1) 0.2531 +- 0.0000,(1/1) 0.6250 +- 0.0000,---,(1) FAIL,(1/1) 0.4062 +- 0.0000,(1/1) 0.7375 +- 0.0000,---,(1) FAIL,(1/1) 0.6656 +- 0.0000,(1/1) 0.6312 +- 0.0000,---,(1) FAIL,(1/1) 0.2875 +- 0.0000,(1/1) 0.6594 +- 0.0000,---,(1/1) 0.6594 +- 0.0000,(1/1) 0.5875 +- 0.0000
,string,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
wq-missing,baseline,0.6844,0.6844,0.6844,0.6844,0.6875,0.6875,0.6875,0.6875,0.7312,0.7312,0.7312,0.7312,0.5406,0.5406,0.5406,0.5406,0.6719,0.6719,0.6719,0.6719,0.6344,0.6344,0.6344,0.6344,0.6312,0.6312,0.6312,0.6312,0.6219,0.6219,0.6219,0.6219,0.7000,0.7000,0.7000,0.7000,0.6500,0.6500,0.6500,0.6500,0.6562,0.6562,0.6562,0.6562
,num disc,(1/1) 0.6813 +- 0.0000,---,(1/1) 0.6906 +- 0.0000,(1/1) 0.6375 +- 0.0000,(1/1) 0.6875 +- 0.0000,---,(1/1) 0.6844 +- 0.0000,(1/1) 0.5969 +- 0.0000,(1/1) 0.7188 +- 0.0000,---,(1/1) 0.7281 +- 0.0000,(1/1) 0.6500 +- 0.0000,(1/1) 0.5375 +- 0.0000,---,(1/1) 0.5375 +- 0.0000,(1/1) 0.2094 +- 0.0000,(1/1) 0.6625 +- 0.0000,---,(1/1) 0.6656 +- 0.0000,(1/1) 0.4594 +- 0.0000,(1/1) 0.6219 +- 0.0000,---,(1/1) 0.6344 +- 0.0000,(1/1) 0.1938 +- 0.0000,(1/1) 0.6031 +- 0.0000,---,(1/1) 0.6250 +- 0.0000,(1/1) 0.3031 +- 0.0000,(1/1) 0.6188 +- 0.0000,---,(1/1) 0.6219 +- 0.0000,(1/1) 0.4750 +- 0.0000,(1/1) 0.7031 +- 0.0000,---,(1/1) 0.7000 +- 0.0000,(1/1) 0.6594 +- 0.0000,(1/1) 0.6562 +- 0.0000,---,(1/1) 0.6406 +- 0.0000,(1/1) 0.2500 +- 0.0000,(1/1) 0.6656 +- 0.0000,---,(1/1) 0.6469 +- 0.0000,(1/1) 0.5687 +- 0.0000
,num cont,(1/1) 0.6813 +- 0.0000,---,(1/1) 0.6844 +- 0.0000,(1/1) 0.6375 +- 0.0000,(1/1) 0.6750 +- 0.0000,---,(1/1) 0.6875 +- 0.0000,(1/1) 0.5906 +- 0.0000,(1/1) 0.7281 +- 0.0000,---,(1/1) 0.7344 +- 0.0000,(1/1) 0.6750 +- 0.0000,(1/1) 0.5312 +- 0.0000,---,(1/1) 0.5406 +- 0.0000,(1/1) 0.2687 +- 0.0000,(1/1) 0.6469 +- 0.0000,---,(1/1) 0.6687 +- 0.0000,(1/1) 0.5156 +- 0.0000,(1/1) 0.6406 +- 0.0000,---,(1/1) 0.6344 +- 0.0000,(1/1) 0.2219 +- 0.0000,(1/1) 0.6281 +- 0.0000,---,(1/1) 0.6281 +- 0.0000,(1/1) 0.2750 +- 0.0000,(1/1) 0.6219 +- 0.0000,---,(1/1) 0.6219 +- 0.0000,(1/1) 0.4281 +- 0.0000,(1/1) 0.6937 +- 0.0000,---,(1/1) 0.7063 +- 0.0000,(1/1) 0.6594 +- 0.0000,(1/1) 0.6375 +- 0.0000,---,(1/1) 0.6406 +- 0.0000,(1/1) 0.2687 +- 0.0000,(1/1) 0.6562 +- 0.0000,---,(1/1) 0.6625 +- 0.0000,(1/1) 0.6094 +- 0.0000
,string,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
