,classifiers,brfc40,brfc40,brfc40,brfc40,brfc40,dtc,dtc,dtc,dtc,dtc,ertc40,ertc40,ertc40,ertc40,ertc40,gaus,gaus,gaus,gaus,gaus,knn,knn,knn,knn,knn,logreg,logreg,logreg,logreg,logreg,lsvm,lsvm,lsvm,lsvm,lsvm,mlpc,mlpc,mlpc,mlpc,mlpc,rfc40,rfc40,rfc40,rfc40,rfc40,svm,svm,svm,svm,svm,xgb,xgb,xgb,xgb,xgb
datasets,tests\anomalies,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields,numeric anomalies,typos,explicit misvals,implicit misvals,swap fields
,num disc,(42/42) 0.8429 +- 0.0233,---,(42/42) 0.8490 +- 0.0034,(6) FAIL,(105/105) 0.8445 +- 0.0164,(42/42) 0.7855 +- 0.0423,---,(42/42) 0.8068 +- 0.0044,(6) FAIL,(105/105) 0.7876 +- 0.0374,(42/42) 0.8231 +- 0.0368,---,(42/42) 0.8331 +- 0.0025,(6) FAIL,(105/105) 0.8234 +- 0.0383,(42/42) 0.4737 +- 0.0324,---,(42/42) 0.4845 +- 0.0013,(6) FAIL,(105/105) 0.4846 +- 0.0590,(42/42) 0.8160 +- 0.0190,---,(42/42) 0.8207 +- 0.0021,(6) FAIL,(105/105) 0.7998 +- 0.0570,(42/42) 0.8184 +- 0.0879,---,(42/42) 0.8483 +- 0.0037,(6) FAIL,(105/105) 0.7762 +- 0.1181,(42/42) 0.8331 +- 0.0463,---,(42/42) 0.8475 +- 0.0035,(6) FAIL,(105/105) 0.7929 +- 0.1071,(42/42) 0.8298 +- 0.0237,---,(42/42) 0.8368 +- 0.0017,(6) FAIL,(105/105) 0.7867 +- 0.1065,(42/42) 0.8392 +- 0.0264,---,(42/42) 0.8493 +- 0.0033,(6) FAIL,(105/105) 0.8331 +- 0.0473,(42/42) 0.2513 +- 0.0021,---,(42/42) 0.2507 +- 0.0002,(6) FAIL,(105/105) 0.2889 +- 0.0926,(42/42) 0.8425 +- 0.0475,---,(42/42) 0.8583 +- 0.0039,(6) FAIL,(105/105) 0.8412 +- 0.0491
,num cont,(42/42) 0.8448 +- 0.0154,---,(42/42) 0.8488 +- 0.0036,(6) FAIL,(105/105) 0.8443 +- 0.0161,(42/42) 0.7912 +- 0.0555,---,(42/42) 0.8072 +- 0.0040,(6) FAIL,(105/105) 0.7873 +- 0.0379,(42/42) 0.8281 +- 0.0133,---,(42/42) 0.8329 +- 0.0027,(6) FAIL,(105/105) 0.8235 +- 0.0386,(42/42) 0.4753 +- 0.0290,---,(42/42) 0.4845 +- 0.0011,(6) FAIL,(105/105) 0.4846 +- 0.0582,(42/42) 0.8187 +- 0.0080,---,(42/42) 0.8207 +- 0.0017,(6) FAIL,(105/105) 0.7997 +- 0.0575,(42/42) 0.8189 +- 0.0877,---,(42/42) 0.8478 +- 0.0043,(6) FAIL,(105/105) 0.7765 +- 0.1180,(42/42) 0.8330 +- 0.0468,---,(42/42) 0.8476 +- 0.0031,(6) FAIL,(105/105) 0.7930 +- 0.1076,(42/42) 0.8248 +- 0.0443,---,(42/42) 0.8369 +- 0.0017,(6) FAIL,(105/105) 0.7867 +- 0.1059,(42/42) 0.8317 +- 0.0616,---,(42/42) 0.8493 +- 0.0033,(6) FAIL,(105/105) 0.8330 +- 0.0473,(42/42) 0.2512 +- 0.0012,---,(42/42) 0.2507 +- 0.0002,(6) FAIL,(105/105) 0.2888 +- 0.0927,(42/42) 0.8441 +- 0.0465,---,(42/42) 0.8583 +- 0.0042,(6) FAIL,(105/105) 0.8413 +- 0.0492
,string,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL,---,(8) FAIL,(8) FAIL,(8) FAIL,(28) FAIL
credit-g,baseline,0.7150,0.7150,0.7150,0.7150,0.7150,0.7050,0.7050,0.7050,0.7050,0.7050,0.7400,0.7400,0.7400,0.7400,0.7400,0.6350,0.6350,0.6350,0.6350,0.6350,0.7000,0.7000,0.7000,0.7000,0.7000,0.6750,0.6750,0.6750,0.6750,0.6750,0.6800,0.6800,0.6800,0.6800,0.6800,0.7100,0.7100,0.7100,0.7100,0.7100,0.7450,0.7450,0.7450,0.7450,0.7450,0.7100,0.7100,0.7100,0.7100,0.7100,0.7600,0.7600,0.7600,0.7600,0.7600
,num disc,(49/49) 0.7180 +- 0.0056,---,(7) FAIL,(7) FAIL,(147/147) 0.7167 +- 0.0079,(49/49) 0.6960 +- 0.0200,---,(7) FAIL,(7) FAIL,(147/147) 0.6753 +- 0.0503,(49/49) 0.7343 +- 0.0131,---,(7) FAIL,(7) FAIL,(147/147) 0.7340 +- 0.0124,(49/49) 0.6217 +- 0.0430,---,(7) FAIL,(7) FAIL,(147/147) 0.6209 +- 0.0626,(49/49) 0.6953 +- 0.0128,---,(7) FAIL,(7) FAIL,(147/147) 0.6939 +- 0.0297,(49/49) 0.6761 +- 0.0203,---,(7) FAIL,(7) FAIL,(147/147) 0.6270 +- 0.0896,(49/49) 0.6758 +- 0.0265,---,(7) FAIL,(7) FAIL,(147/147) 0.6320 +- 0.0880,(49/49) 0.7100 +- 0.0000,---,(7) FAIL,(7) FAIL,(147/147) 0.7100 +- 0.0000,(49/49) 0.7391 +- 0.0113,---,(7) FAIL,(7) FAIL,(147/147) 0.7387 +- 0.0152,(49/49) 0.7068 +- 0.0083,---,(7) FAIL,(7) FAIL,(147/147) 0.6407 +- 0.0976,(49/49) 0.7510 +- 0.0273,---,(49/49) 0.7568 +- 0.0087,(7) FAIL,(147/147) 0.7519 +- 0.0145
,num cont,(49/49) 0.7171 +- 0.0064,---,(7) FAIL,(7) FAIL,(147/147) 0.7172 +- 0.0076,(49/49) 0.6922 +- 0.0341,---,(7) FAIL,(7) FAIL,(147/147) 0.6739 +- 0.0498,(49/49) 0.7370 +- 0.0093,---,(7) FAIL,(7) FAIL,(147/147) 0.7334 +- 0.0127,(49/49) 0.6233 +- 0.0401,---,(7) FAIL,(7) FAIL,(147/147) 0.6211 +- 0.0611,(49/49) 0.6937 +- 0.0130,---,(7) FAIL,(7) FAIL,(147/147) 0.6948 +- 0.0298,(49/49) 0.6764 +- 0.0209,---,(7) FAIL,(7) FAIL,(147/147) 0.6277 +- 0.0845,(49/49) 0.6838 +- 0.0217,---,(7) FAIL,(7) FAIL,(147/147) 0.6298 +- 0.0888,(49/49) 0.7100 +- 0.0000,---,(7) FAIL,(7) FAIL,(147/147) 0.7100 +- 0.0000,(49/49) 0.7421 +- 0.0078,---,(7) FAIL,(7) FAIL,(147/147) 0.7377 +- 0.0177,(49/49) 0.7081 +- 0.0069,---,(7) FAIL,(7) FAIL,(147/147) 0.6412 +- 0.0966,(49/49) 0.7533 +- 0.0167,---,(49/49) 0.7557 +- 0.0100,(7) FAIL,(147/147) 0.7518 +- 0.0156
,string,---,(13) FAIL,(13) FAIL,(13) FAIL,(2/546) 0.7150 +- 0.0000,---,(13) FAIL,(13) FAIL,(13) FAIL,(2/546) 0.7050 +- 0.0000,---,(13) FAIL,(13) FAIL,(13) FAIL,(2/546) 0.7400 +- 0.0000,---,(13) FAIL,(13) FAIL,(13) FAIL,(1/546) 0.6350 +- 0.0000,---,(13) FAIL,(13) FAIL,(13) FAIL,(1/546) 0.7000 +- 0.0000,---,(13) FAIL,(13) FAIL,(13) FAIL,(78) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,(1/546) 0.6800 +- 0.0000,---,(13) FAIL,(13) FAIL,(13) FAIL,(78) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,(78) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,(78) FAIL,---,(13) FAIL,(13) FAIL,(13) FAIL,(78) FAIL
heart,baseline,0.7778,0.7778,0.7778,0.7778,0.7778,0.8148,0.8148,0.8148,0.8148,0.8148,0.7963,0.7963,0.7963,0.7963,0.7963,0.6667,0.6667,0.6667,0.6667,0.6667,0.7963,0.7963,0.7963,0.7963,0.7963,0.8333,0.8333,0.8333,0.8333,0.8333,0.8519,0.8519,0.8519,0.8519,0.8519,0.5926,0.5926,0.5926,0.5926,0.5926,0.7407,0.7407,0.7407,0.7407,0.7407,0.8148,0.8148,0.8148,0.8148,0.8148,0.7593,0.7593,0.7593,0.7593,0.7593
,num disc,(44/77) 0.7744 +- 0.0241,---,(11) FAIL,(11) FAIL,(158/385) 0.7738 +- 0.0181,(44/77) 0.7959 +- 0.0245,---,(11) FAIL,(11) FAIL,(153/385) 0.7951 +- 0.0373,(42/77) 0.7866 +- 0.0135,---,(11) FAIL,(11) FAIL,(159/385) 0.7944 +- 0.0165,(42/77) 0.6649 +- 0.0354,---,(11) FAIL,(11) FAIL,(158/385) 0.6526 +- 0.0488,(46/77) 0.7963 +- 0.0241,---,(11) FAIL,(11) FAIL,(154/385) 0.7828 +- 0.0458,(41/77) 0.8130 +- 0.0314,---,(11) FAIL,(11) FAIL,(160/385) 0.7971 +- 0.0697,(43/77) 0.8243 +- 0.0369,---,(11) FAIL,(11) FAIL,(153/385) 0.8014 +- 0.0836,(43/77) 0.5909 +- 0.0119,---,(11) FAIL,(11) FAIL,(159/385) 0.5862 +- 0.0128,(45/77) 0.7490 +- 0.0219,---,(11) FAIL,(11) FAIL,(155/385) 0.7476 +- 0.0229,(47/77) 0.8085 +- 0.0163,---,(11) FAIL,(11) FAIL,(157/385) 0.7795 +- 0.0687,(44/77) 0.7618 +- 0.0166,---,(42/77) 0.7606 +- 0.0102,(11) FAIL,(159/385) 0.7569 +- 0.0144
,num cont,(46/77) 0.7750 +- 0.0168,---,(11) FAIL,(11) FAIL,(156/385) 0.7750 +- 0.0170,(43/77) 0.8028 +- 0.0282,---,(11) FAIL,(11) FAIL,(151/385) 0.7959 +- 0.0361,(38/77) 0.7875 +- 0.0184,---,(11) FAIL,(11) FAIL,(156/385) 0.7958 +- 0.0184,(42/77) 0.6601 +- 0.0501,---,(11) FAIL,(11) FAIL,(156/385) 0.6525 +- 0.0476,(46/77) 0.7931 +- 0.0165,---,(11) FAIL,(11) FAIL,(161/385) 0.7794 +- 0.0451,(40/77) 0.8116 +- 0.0436,---,(11) FAIL,(11) FAIL,(156/385) 0.7887 +- 0.0787,(42/77) 0.8316 +- 0.0307,---,(11) FAIL,(11) FAIL,(157/385) 0.8050 +- 0.0833,(42/77) 0.5908 +- 0.0139,---,(11) FAIL,(11) FAIL,(154/385) 0.5860 +- 0.0136,(39/77) 0.7479 +- 0.0181,---,(11) FAIL,(11) FAIL,(160/385) 0.7494 +- 0.0213,(40/77) 0.8088 +- 0.0157,---,(11) FAIL,(11) FAIL,(158/385) 0.7799 +- 0.0693,(43/77) 0.7610 +- 0.0131,---,(42/77) 0.7593 +- 0.0090,(11) FAIL,(158/385) 0.7574 +- 0.0120
